Timestamp,Enter the grade associated with course ?  [CMSC131],Enter the grade associated with course ?  [CMSC132],Enter the grade associated with course ?  [CMSC216],Enter the grade associated with course ?  [CMSC250],Enter the grade associated with course ?  [CMSC330],Enter the grade associated with course ?  [CMSC351],Enter the grade associated with course ?  [MATH140],Enter the grade associated with course ?  [MATH141],Enter the grade associated with course ?  [MATH240],Enter the grade associated with course ?  [MATH241],Enter the grade associated with course ?  [STAT400],Computer Science Track,Have you taken upper level CS classes ? (CMSC4xx),Area 1 Courses [CMSC411],Area 1 Courses [CMSC412],Area 1 Courses [CMSC414],Area 1 Courses [CMSC416],Area 1 Courses [CMSC417],Area 2 Courses [CMSC420],Area 2 Courses [CMSC421],Area 2 Courses [CMSC422],Area 2 Courses [CMSC423],Area 2 Courses [CMSC424],Area 2 Courses [CMSC426],Area 2 Courses [CSMC427],Area 2 Courses [CMSC470],Area 3 Courses [CMSC430],Area 3 Courses [CMSC433],Area 3 Courses [CMSC434],Area 3 Courses [CMSC435],Area 3 Courses [CMSC436],Area 4 Courses [CMSC451],Area 4 Courses [CMSC452],Area 4 Courses [CMSC454],Area 4 Courses [CMSC456],Area 4 Courses [CMSC457],Area 5 Courses [CMSC460],Area 5 Courses [CMSC466],Other CMSC Courses [CMSC320],Other CMSC Courses [CMSC425],Other CMSC Courses [CMSC472],Other CMSC Courses [CMSC473],Other CMSC Courses [CMSC474],Other CMSC Courses [CMSC475],Graduation Status
11/15/2021 12:39:49,C+,C+,B,C+,B+,B+,B+,B+,B+,B+,A-,General,Yes,,,Don't want to share,,,B+,,,,,,,,,,,,,,,,,,,,,,,,,,Not Completed
11/15/2021 13:04:32,A,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A-,Not Attempted,Not Attempted,Not Attempted,General,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2021 13:08:15,Not Attempted,A,B,B+,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A-,A,B+,Data Science,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2021 13:14:30,B+,B,C+,B+,A-,C+,Not Attempted,C+,Not Attempted,Not Attempted,Not Attempted,General,Yes,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,C+,Not Attempted,Not Attempted,C+,B,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,B+,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Completed
11/15/2021 13:59:47,Not Attempted,A-,A,A,Not Attempted,A-,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,General,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2021 14:25:08,B+,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A-,Not Attempted,Not Attempted,Not Attempted,Not Attempted,General,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2021 15:43:10,B,C+,A-,B-,A-,B,A+,A+,C+,A+,A,Machine Learning,Yes,,,A-,,,,,A,,,,,,,,,,,,,,,,A,,,,A-,,,,Not Completed
11/15/2021 17:01:07,Not Attempted,A-,A,A-,A,B+,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A,General,Yes,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A-,Not Attempted,Not Attempted,A+,Not Attempted,A-,Not Attempted,Not Attempted,A-,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Completed
11/15/2021 17:18:11,A,A,B+,B-,C+,C,A+,C+,B+,B+,A,General,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Completed
11/15/2021 20:00:39,B+,B,A+,A,A,A,B+,A,A-,Not Attempted,A+,General,Yes,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,,Not Attempted,Not Attempted,B+,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Completed
11/15/2021 20:01:44,A,B,A-,B+,C-,B,A,A,B-,C+,B+,General,Yes,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,C-,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,C-,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Completed
11/15/2021 20:52:36,A+,A,A+,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,B-,A,General,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2021 21:10:17,Not Attempted,A-,B-,B+,A-,A,Not Attempted,Not Attempted,C+,B+,B,General,Yes,B,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A+,Not Attempted,Not Attempted,A,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,B,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Completed
11/16/2021 0:28:19,A+,B+,C+,C+,B,B-,A+,A+,C+,Don't want to share,B+,Machine Learning,Yes,Not Attempted,Not Attempted,Not Attempted,,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Completed
11/16/2021 0:47:13,Not Attempted,A,B-,A,B+,B,A,Not Attempted,A,Not Attempted,Don't want to share,General,Yes,,,,,,B+,,,,,,,,,,,,,,,,,,,,A,,,,,,Not Completed
11/16/2021 14:27:40,A+,A+,A,A+,A+,A+,Not Attempted,Not Attempted,A,A+,A+,General,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2021 18:55:10,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,Machine Learning,Yes,Not Attempted,A+,A+,Not Attempted,Not Attempted,A+,Not Attempted,A+,A+,A+,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A+,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A+,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Completed
11/16/2021 19:03:17,Not Attempted,A,B+,A-,A-,A-,Not Attempted,A,Not Attempted,A,A,Machine Learning,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
